service_id,category,name,subtitle,description,target_axis,expected_improvement,target_stage,duration_weeks,price_base,price_urgent,price_package,provider,format,deliverables,process_steps,portfolio_count,avg_rating,review_count,completion_rate,status
SRV-011,마케팅,소셜미디어 마케팅,SNS 채널 운영 및 광고 집행,"인스타그램, 페이스북, 링크드인 등 소셜미디어 운영 전략과 광고 캠페인을 실행합니다.",EC|PF,14,A1|A2|A3|A4,4,2800000,4200000,2520000,포켓,online,"SNS 운영 전략|콘텐츠 캘린더|광고 세팅|성과 리포트","채널 분석(3일)|전략 수립(4일)|콘텐츠 제작(2주)|운영(1주)",108,4.7,91,92,active
SRV-012,마케팅,콘텐츠 마케팅,SEO 최적화 콘텐츠 제작 및 배포,"블로그, 뉴스레터, 백서 등 다양한 콘텐츠를 제작하여 오가닉 트래픽을 증가시킵니다.",EC,13,A2|A3|A4,8,3200000,4800000,2880000,포켓,online,"콘텐츠 기획안|블로그 포스트 20개|뉴스레터 템플릿|SEO 리포트","키워드 리서치(1주)|콘텐츠 기획(1주)|제작(4주)|배포(2주)",87,4.6,73,90,active
SRV-013,투자,투자유치 컨설팅,시리즈 A/B 투자유치 전략 및 실행,"투자 전략 수립부터 IR 준비, 투자자 미팅, 협상까지 투자유치 전 과정을 지원합니다.",PF|GO,30,A2|A3|A4,12,10000000,15000000,9000000,포켓,hybrid,"투자 전략서|IR덱|밸류에이션 분석|투자자 리스트|협상 지원","전략 수립(2주)|IR 준비(3주)|투자자 접촉(4주)|협상 지원(3주)",52,4.9,44,85,active
SRV-014,투자,재무모델링,투자유치용 Financial Model 구축,"3-5년 재무 예측 모델을 구축하고 시나리오별 분석을 제공합니다. 투자자가 요구하는 수준의 정교한 모델을 제작합니다.",PF,22,A2|A3|A4,3,3500000,5250000,3150000,포켓,online,"재무모델 엑셀|시나리오 분석|밸류에이션|투자 시뮬레이션","데이터 수집(1주)|모델 구축(1주)|검증 및 조정(1주)",71,4.8,59,91,active
SRV-015,투자,피칭 트레이닝,투자자 앞 프레젠테이션 역량 강화,"실제 투자자 앞에서의 피칭 스킬을 향상시킵니다. 스토리텔링, 질의응답, 보디랭귀지까지 종합적으로 코칭합니다.",TO|PF,16,A2|A3,2,2000000,3000000,1800000,포켓,offline,"피칭 스크립트|프레젠테이션 코칭|Q&A 트레이닝|피칭 영상","스크립트 작성(3일)|1:1 코칭(5일)|모의 피칭(2일)",96,4.9,82,96,active
SRV-016,컨설팅,스케일업 전략 컨설팅,Series A 이후 성장 전략 수립,"제품 확장, 시장 확대, 조직 성장 등 스케일업 단계의 종합 전략을 수립합니다.",GO|EC|TO,25,A3|A4,6,6000000,9000000,5400000,포켓,hybrid,"성장 전략서|조직 설계안|KPI 체계|실행 로드맵","현황 진단(2주)|전략 수립(2주)|실행 계획(2주)",38,4.7,32,88,active
SRV-017,컨설팅,해외진출 전략,글로벌 시장 진출 전략 및 실행,"타겟 국가 선정부터 현지화 전략, 파트너십까지 해외 진출을 체계적으로 지원합니다.",GO|EC,28,A3|A4|A5,8,8000000,12000000,7200000,포켓,hybrid,"시장 분석 리포트|진출 전략서|현지화 가이드|파트너 리스트","시장 조사(3주)|전략 수립(2주)|파트너 발굴(2주)|실행 지원(1주)",27,4.8,23,86,active
SRV-018,컨설팅,법인 설립 지원,스타트업 법인 설립 원스톱 서비스,"법인 설립부터 사업자 등록, 필수 계약서 작성까지 창업에 필요한 법무 행정을 지원합니다.",TO,10,A1,1,1500000,2250000,1350000,파트너사,online,"법인 등기|사업자등록증|정관|주주간계약서|고용계약서 템플릿","서류 준비(2일)|법인 설립(3일)|후속 처리(2일)",189,4.6,157,97,active
SRV-019,컨설팅,지식재산권 전략,특허/상표 출원 및 IP 전략 수립,"핵심 기술의 특허 출원과 브랜드 상표 등록을 지원하고 IP 포트폴리오 전략을 수립합니다.",PT,20,A2|A3|A4,6,4000000,6000000,3600000,파트너사,hybrid,"특허 출원서|상표 출원서|IP 전략서|선행기술 조사","선행조사(2주)|출원서 작성(2주)|출원 진행(2주)",64,4.7,53,89,active
SRV-020,컨설팅,인사/조직 컨설팅,스타트업 맞춤형 HR 시스템 구축,"채용, 평가, 보상 체계를 설계하고 조직문화를 구축합니다. 스톡옵션 설계도 포함합니다.",TO,18,A2|A3|A4,4,3500000,5250000,3150000,포켓,online,"HR 제도|평가 체계|보상 설계|조직문화 가이드","진단(1주)|제도 설계(2주)|도입 지원(1주)",58,4.8,49,91,active
SRV-021,개발,백엔드 API 개발,확장 가능한 RESTful API 구축,"Node.js, Python 등을 활용한 확장 가능한 백엔드 시스템을 구축합니다. 클라우드 배포까지 지원합니다.",PT,24,A2|A3,6,7000000,10500000,6300000,포켓,online,"API 서버|API 문서|데이터베이스|배포 환경","설계(1주)|개발(3주)|테스트(1주)|배포(1주)",47,4.7,40,89,active
SRV-022,개발,데이터 분석 대시보드,비즈니스 인텔리전스 시각화 도구,"Google Analytics, Mixpanel 등과 연동하여 실시간 비즈니스 지표를 모니터링할 수 있는 대시보드를 구축합니다.",EC|PF,17,A2|A3|A4,3,4000000,6000000,3600000,포켓,hybrid,"BI 대시보드|데이터 파이프라인|리포트 템플릿|알림 설정","요구사항 분석(1주)|개발(1주)|연동 및 테스트(1주)",62,4.6,52,90,active
SRV-023,마케팅,그로스해킹,데이터 기반 성장 실험 및 최적화,"A/B 테스트, 퍼널 분석, 코호트 분석을 통해 제품과 마케팅을 최적화합니다.",EC|PF,20,A2|A3,8,4500000,6750000,4050000,포켓,online,"그로스 전략|실험 계획|분석 리포트|개선안","분석 셋업(2주)|실험 진행(4주)|최적화(2주)",73,4.8,61,92,active
SRV-024,마케팅,이메일 마케팅 자동화,마케팅 자동화 시스템 구축,"이메일 마케팅 자동화 시스템을 구축하고 시나리오별 캠페인을 설정합니다.",EC,12,A2|A3|A4,2,2200000,3300000,1980000,포켓,online,"자동화 시나리오|이메일 템플릿|세그먼트 설정|성과 대시보드","시스템 구축(1주)|시나리오 설계(3일)|템플릿 제작(4일)",91,4.7,76,93,active
SRV-025,투자,크라우드펀딩 컨설팅,와디즈/텀블벅 펀딩 성공 전략,"리워드/투자형 크라우드펀딩 캠페인을 기획하고 실행합니다. 스토리텔링부터 리워드 설계까지 지원합니다.",PF|EC,18,A1|A2|A3,6,3000000,4500000,2700000,파트너사,hybrid,"캠페인 기획|스토리 콘텐츠|리워드 설계|홍보 전략","기획(2주)|콘텐츠 제작(2주)|캠페인 운영(2주)",112,4.8,94,94,active
SRV-026,투자,정부지원사업 매칭,맞춤형 정부과제 추천 및 신청,"기업 현황에 맞는 정부지원사업을 발굴하고 신청서 작성을 지원합니다.",GO|PF,16,A1|A2|A3,4,2500000,3750000,2250000,포켓,online,"지원사업 리스트|신청서|사업계획서|프레젠테이션","매칭 분석(1주)|서류 작성(2주)|제출 지원(1주)",146,4.7,122,91,active
SRV-027,컨설팅,M&A 자문,인수합병 전략 및 실사 지원,"Exit 전략 수립, 기업가치 평가, 실사 대응, 협상 지원까지 M&A 전 과정을 자문합니다.",GO|PF|TO,35,A4|A5,12,15000000,22500000,13500000,파트너사,hybrid,"기업가치 평가|실사 자료|협상 전략|계약서 검토","전략 수립(3주)|가치 평가(3주)|실사 대응(4주)|협상 지원(2주)",19,4.9,16,83,active
SRV-028,컨설팅,ESG 경영 컨설팅,지속가능경영 체계 구축,"ESG 경영 전략을 수립하고 지속가능경영보고서를 작성합니다. 친환경, 사회적 가치 창출 방안을 제시합니다.",GO|TO,15,A3|A4|A5,6,5000000,7500000,4500000,파트너사,online,"ESG 전략서|지속가능경영보고서|실행 가이드|인증 지원","현황 진단(2주)|전략 수립(2주)|보고서 작성(2주)",31,4.6,26,87,active
SRV-029,개발,노코드 툴 구축,Bubble/Webflow 활용 빠른 프로토타이핑,"노코드 툴을 활용하여 빠르고 비용 효율적으로 웹 애플리케이션을 구축합니다.",PT,15,A1|A2,3,3000000,4500000,2700000,포켓,online,"노코드 앱|관리자 교육|운영 가이드|소스 이관","설계(1주)|구축(1주)|교육(1주)",67,4.5,56,88,active
SRV-030,개발,블록체인 개발,Web3 DApp 및 스마트컨트랙트 개발,"블록체인 기반 서비스를 개발합니다. 스마트컨트랙트, NFT, DeFi 등을 구현합니다.",PT,30,A2|A3|A4,8,12000000,18000000,10800000,파트너사,hybrid,"스마트컨트랙트|DApp|보안 감사|배포 지원","설계(2주)|개발(4주)|감사(1주)|배포(1주)",23,4.7,19,85,active
SRV-031,마케팅,인플루언서 마케팅,KOL 섭외 및 캠페인 진행,"제품/서비스에 맞는 인플루언서를 섭외하고 효과적인 마케팅 캠페인을 진행합니다.",EC|PF,16,A2|A3|A4,4,3500000,5250000,3150000,파트너사,online,"인플루언서 리스트|캠페인 기획|콘텐츠 제작|성과 분석","리서치(1주)|섭외(1주)|캠페인 진행(2주)",85,4.6,71,90,active
SRV-032,마케팅,PR/언론홍보,언론 보도자료 배포 및 미디어 관리,"보도자료 작성, 언론사 배포, 기자 간담회 등 PR 활동을 지원합니다.",EC|PF,14,A2|A3|A4,3,2800000,4200000,2520000,파트너사,hybrid,"보도자료|미디어킷|기자 리스트|보도 실적","자료 작성(1주)|배포(1주)|후속 관리(1주)",103,4.7,86,92,active
SRV-033,컨설팅,데이터 거버넌스,데이터 관리 체계 및 보안 구축,"GDPR, 개인정보보호법 준수를 위한 데이터 관리 체계를 구축합니다.",TO|PT,17,A3|A4|A5,4,4000000,6000000,3600000,파트너사,online,"데이터 정책|보안 체계|프라이버시 정책|감사 리포트","현황 분석(1주)|정책 수립(2주)|시스템 구축(1주)",42,4.6,35,88,active
SRV-034,컨설팅,파트너십 전략,전략적 제휴 및 협력사 발굴,"비즈니스 성장을 위한 전략적 파트너를 발굴하고 제휴 협상을 지원합니다.",GO|EC,19,A2|A3|A4,5,3800000,5700000,3420000,포켓,hybrid,"파트너 리스트|제휴 제안서|협상 전략|계약서 검토","파트너 리서치(2주)|접촉 및 제안(2주)|협상 지원(1주)",56,4.8,47,90,active
SRV-035,개발,AI/ML 모델 개발,머신러닝 모델 구축 및 최적화,"추천 시스템, 예측 모델 등 AI/ML 솔루션을 개발하고 서비스에 통합합니다.",PT,32,A3|A4,10,15000000,22500000,13500000,파트너사,hybrid,"ML 모델|API 연동|모델 문서|성능 리포트","데이터 준비(2주)|모델 개발(4주)|최적화(2주)|배포(2주)",28,4.8,24,86,active
SRV-036,투자,밸류에이션 컨설팅,기업가치 평가 및 투자 전략,"DCF, 멀티플 등 다양한 방법론을 활용한 기업가치 평가와 투자 전략을 제공합니다.",PF|GO,20,A3|A4|A5,2,3000000,4500000,2700000,파트너사,online,"밸류에이션 리포트|비교 분석|시나리오 분석|투자 제안서","데이터 수집(3일)|분석(5일)|리포트 작성(2일)",49,4.7,41,89,active
SRV-037,마케팅,유튜브 채널 운영,기업 유튜브 채널 기획 및 운영,"브랜드 유튜브 채널을 기획하고 콘텐츠를 제작/운영합니다. 구독자 증가 전략을 실행합니다.",EC|PF,15,A2|A3|A4,12,4000000,6000000,3600000,파트너사,online,"채널 기획|콘텐츠 캘린더|영상 제작|채널 최적화","채널 설계(2주)|콘텐츠 제작(8주)|운영 최적화(2주)",76,4.6,63,91,active
SRV-038,컨설팅,린 스타트업 코칭,MVP 개발 및 고객 검증 프로세스,"린 스타트업 방법론을 적용하여 빠른 제품 개발과 시장 검증을 진행합니다.",GO|PT,21,A1|A2,6,3500000,5250000,3150000,포켓,hybrid,"린 캔버스|MVP 계획|실험 설계|피벗 전략","방법론 교육(1주)|MVP 기획(2주)|실험 진행(2주)|분석(1주)",81,4.8,68,93,active
SRV-039,컨설팅,규제 대응 전략,규제 샌드박스 및 인허가 지원,"규제 샌드박스 신청, 인허가 취득 등 규제 대응 전략을 수립하고 실행합니다.",GO|TO,18,A2|A3|A4,8,5000000,7500000,4500000,파트너사,hybrid,"규제 분석|신청서|대응 전략|인허가 지원","규제 분석(2주)|전략 수립(2주)|신청 준비(3주)|후속 대응(1주)",37,4.7,31,87,active
SRV-040,마케팅,메타버스 마케팅,가상공간 브랜드 경험 구축,"메타버스 플랫폼에서 브랜드 공간을 구축하고 가상 이벤트를 진행합니다.",EC|PT,22,A3|A4,6,6000000,9000000,5400000,파트너사,hybrid,"메타버스 공간|아바타/NFT|이벤트 기획|운영 지원","플랫폼 선정(1주)|공간 구축(3주)|이벤트 진행(2주)",21,4.5,18,84,active
