kpi_id,stage,weight,ruleset_text
S1-[GO]-08,A-2,x2,"1. 10% 미만 (0점)
2. 10% ~ 20% (50점)
3. 20% 이상 (100점)"
S1-[GO]-08,A-3,x3,"1. 15% 미만 (0점), 
2. 15% ~ 30% (50점),
3. 30% 이상 (100점)"
S1-[GO]-08,A-4,x2,"1. 20% 미만 (0점),
2. 20% ~ 40% (50점),
3. 40% 이상 (100점)"
S1-[GO]-09,A-3,x2,"0점: 5% 미만
100점: 25% 이상"
S1-[GO]-09,A-4,x2,"0점: 10% 미만
100점: 35% 이상"
S1-[GO]-09,A-5,x2,"0점: 15% 미만
100점: 40% 이상"
S1-[GO]-10,A-3,x3,"0점: 1% 미만
100점: 5% 이상"
S1-[GO]-10,A-4,x3,"0점: 2% 미만
100점: 10% 이상"
S1-[GO]-10,A-5,x2,"0점: 3% 미만
100점: 10% 이상"
S1-[GO]-11,A-3,x2,"0점: 80% 미만
50점: 80% ~ 90%
100점: 95% 이상"
S1-[GO]-11,A-4,x3,"0점: 85% 미만
50점: 85% ~ 95%
100점: 98% 이상"
S1-[GO]-12,A-3,x2,"1. 5% 초과 (0점),
2. 3% ~ 5% (50점), 
3. 2% 이하 (100점)"
S1-[GO]-12,A-4,x3,"1. 4% 초과 (0점),
2. 2% ~ 4% (50점),
3. 1% 이하 (100점)"
S1-[GO]-12,A-5,x3,"1. 3% 초과 (0점),
2. 1% ~ 3% (50점),
3. 1% 미만 (100점)"
S1-[GO]-13,A-3,x2,"1. 5% 미만 (0점),
2. 5% ~ 10% (50점),
3. 15% 이상 (100점)"
S1-[GO]-13,A-4,x3,"1. 10% 미만 (0점),
2. 10% ~ 20% (50점),
3. 20% 이상 (100점)"
S1-[GO]-14,A-2,x1,"1. 해외 대기업(15점), 
2. 국내 대기업(10점), 
3. 공공/교육/연구기관(8점), 
4. 해외 스타트업(5점), 
5. 국내 스타트업(3점), 
6. 해당 없음(0점)"
S1-[GO]-14,A-3,x1,"1. 해외 대기업(15점), 
2. 국내 대기업(10점), 
3. 공공/교육/연구기관(8점), 
4. 해외 스타트업(5점), 
5. 국내 스타트업(3점), 
6. 해당 없음(0점)"
S1-[GO]-14,A-4,x2,"1. 해외 대기업(15점), 
2. 국내 대기업(10점), 
3. 공공/교육/연구기관(8점), 
4. 해외 스타트업(5점), 
5. 국내 스타트업(3점), 
6. 해당 없음(0점)"
S1-[GO]-14,A-5,x2,"1. 해외 대기업(15점), 
2. 국내 대기업(10점), 
3. 공공/교육/연구기관(8점), 
4. 해외 스타트업(5점), 
5. 국내 스타트업(3점), 6. 해당 없음(0점)"
S1-[GO]-15,A-1,x1,"1. 해당 없음 (0점), 
2. 서류 통과/예비선정 (50점), 
3. 지자체/소규모 과제 선정 (100점)"
S1-[GO]-15,A-2,x1,"1. 해당 없음 (0점), 
2. 지자체 과제 선정 (50점), 
3. 전국 규모 사업 선정 (초기창업패키지 등) (100점)"
S1-[GO]-15,A-3,x1,"1. 전국 규모 사업 미만 (0점), 
2. 전국 규모 사업 선정 (50점), 
3. TIPS / 딥테크 TIPS 등 대형 연구과제 선정 (100점)"
S1-[EC]-01,A-3,x3,"0점: 50% 미만,
100점: 80% 이상"
S1-[EC]-01,A-4,x3,"0점: 60% 미만,
100점: 85% 이상"
S1-[EC]-01,A-5,x3,"0점: 70% 미만,
100점: 90% 이상"
S1-[EC]-02,A-2,x2,"1. 1만원 미만 (0점), 
2. 1만원 ~ 5만원 (50점), 
3. 5만원 이상 (100점)"
S1-[EC]-02,A-3,x2,"1. 3만원 미만 (0점), 
2. 3만원 ~ 10만원 (50점), 
3. 10만원 이상 (100점)"
S1-[EC]-02,A-4,x2,"1. 5만원 미만 (0점), 
2. 5만원 ~ 30만원 (50점), 
3. 30만원 이상 (100점)"
S1-[EC]-03,A-1,x2,"1. 5천원 초과 또는 측정 안함 (0점), 
2. 1천원 ~ 5천원 (50점), 
3. 1천원 미만 (100점)"
S1-[EC]-03,A-2,x2,"1. 1만원 초과 또는 측정 안함 (0점), 
2. 3천원 ~ 1만원 (50점), 
3. 3천원 미만 (100점)"
S1-[EC]-04,A-2,x2,"1. 20% 미만 (0점), 
2. 20% ~ 50% (50점), 
3. 50% 이상 (100점)"
S1-[EC]-04,A-3,x3,"1. 40% 미만 (0점), 
2. 40% ~ 70% (50점), 
3. 70% 이상 (100점)"
S1-[EC]-04,A-4,x3,"1. 60% 미만 (0점), 
2. 60% ~ 80% (50점), 
3. 80% 이상 (100점)"
S1-[EC]-04,A-5,x2,"1. 70% 미만 (0점), 
2. 70% ~ 90% (50점), 
3. 90% 이상 (100점)"
S1-[EC]-05,A-3,x3,"0점: 150만원 초과,
100점: 30만원 미만"
S1-[EC]-05,A-4,x3,"0점: 200만원 초과,
100점: 50만원 미만"
S1-[EC]-05,A-5,x2,"0점: 250만원 초과,
100점: 80만원 미만"
S1-[EC]-06,A-3,x3,"0점: 24개월 초과,
100점: 12개월 미만"
S1-[EC]-06,A-4,x3,"0점: 18개월 초과,
100점: 9개월 미만"
S1-[EC]-06,A-5,x2,"0점: 12개월 초과,
100점: 6개월 미만"
S1-[EC]-07,A-2,x2,"1. 10만원 미만 (0점), 
2. 10만원 ~ 30만원 (50점), 
3. 30만원 이상 (100점)"
S1-[EC]-07,A-3,x3,"1. 20만원 미만 (0점), 
2. 20만원 ~ 100만원 (50점), 
3. 100만원 이상 (100점)"
S1-[EC]-07,A-4,x3,"1. 50만원 미만 (0점), 
2. 50만원 ~ 300만원 (50점), 
3. 300만원 이상 (100점)"
S1-[EC]-08,A-1,x3,"0점: 3개월 미만,
100점: 12개월 이상"
S1-[EC]-08,A-2,x3,"0점: 6개월 미만,
100점: 18개월 이상"
S1-[EC]-09,A-1,x1,"1. 구독/정기과금(50점), 
2. B2B(20점), 
3. 거래 수수료(15점), 
4. B2C(10점), 
5. 광고/스폰서십(5점), 
6. B2G/공공(5점), 
7. 일회성 구축/컨설팅(0점)"
S1-[EC]-09,A-2,x1,"1. 구독/정기과금(50점), 
2. B2B(20점), 
3. 거래 수수료(15점), 
4. B2C(10점), 
5. 광고/스폰서십(5점), 
6. B2G/공공(5점), 
7. 일회성 구축/컨설팅(0점)"
S1-[EC]-09,A-3,x1,"1. 구독/정기과금(50점), 
2. B2B(20점), 
3. 거래 수수료(15점), 
4. B2C(10점), 
5. 광고/스폰서십(5점), 
6. B2G/공공(5점), 
7. 일회성 구축/컨설팅(0점)"
S1-[EC]-09,A-4,x1,"1. 구독/정기과금(50점), 
2. B2B(20점), 
3. 거래 수수료(15점), 
4. B2C(10점), 
5. 광고/스폰서십(5점), 
6. B2G/공공(5점), 
7. 일회성 구축/컨설팅(0점)"
S1-[EC]-09,A-5,x1,"1. 구독/정기과금(50점), 
2. B2B(20점), 
3. 거래 수수료(15점), 
4. B2C(10점), 
5. 광고/스폰서십(5점), 
6. B2G/공공(5점), 
7. 일회성 구축/컨설팅(0점)"
S1-[PT]-01,A-1,x3,"1. 아이디어: 컨셉만 존재 (0점)
2. 검증: No-code 프로토타입(Figma 등)으로 주요 화면 구현 (50점)
3. 검증: 프로토타입으로 잠재고객 테스트 완료 (75점)
4. 알파: 핵심 기능이 개발된 내부 테스트 버전 보유 (100점)"
S1-[PT]-01,A-2,x3,"1. 알파: 내부 테스트 버전만 존재 (0점)
2. MVP: 핵심 가치를 담아 소수 외부 고객에게 첫 출시 (50점)
3. MVP: 초기 피드백 반영 및 1~2회 업데이트 완료 (75점)
4. 클로즈드 베타: 안정화 후 초대 기반으로 다수 고객 테스트 진행 (100점)"
S1-[PT]-01,A-3,x2,"1. 클로즈드 베타: 소수 대상 비공개 테스트 진행 중 (0점)
2. 정식 출시: 누구나 사용할 수 있도록 공개됨 (50점)
3. 정식 출시: 유의미한 사용자 기반을 확보하고 서비스가 안정화됨 (75점)
4. 정식 출시: 핵심 지표(예: 리텐션)가 목표 수준에 도달 (100점)"
S1-[PT]-01,A-4,x2,"1. 정식 출시: 최소 기능만으로 운영 중 (0점)
2. 정식 출시: 주요 기능 안정화 및 운영이 고도화됨 (50점)
3. 확장: 확장 기능(API, 외부 연동 등) 개발에 착수 (75점)
4. 확장: 일부 엔터프라이즈급 기능(보안, 관리 등) 출시 (100점)"
S1-[PT]-01,A-5,x1,"1. 정식 출시: 기능 고도화 단계에 머물러 있음 (0점)
2. 확장: 다수의 엔터프라이즈 기능을 보유 및 판매 중 (50점)
3. 확장: 플랫폼으로 확장(써드파티 연동, API 생태계) (75점)
4. 확장: 업계 표준으로 인정받는 플랫폼/인프라로 자리매김 (100점)"
S1-[PT]-02,A-1,x2,"1. 네트워크 효과 (40점)
2. 독점 데이터 소스 (40점)
3. 특화 알고리즘/모델 (30점)
4. 높은 전환 비용 (30점)
5. 특정 워크플로 깊이 (20점)
6. 파트너 생태계 (20점)"
S1-[PT]-02,A-2,x2,"1. 네트워크 효과 (40점)
2. 독점 데이터 소스 (40점)
3. 특화 알고리즘/모델 (30점)
4. 높은 전환 비용 (30점)
5. 특정 워크플로 깊이 (20점)
6. 파트너 생태계 (20점)"
S1-[PT]-02,A-3,x3,"1. 네트워크 효과 (40점)
2. 독점 데이터 소스 (40점)
3. 특화 알고리즘/모델 (30점)
4. 높은 전환 비용 (30점)
5. 특정 워크플로 깊이 (20점)
6. 파트너 생태계 (20점)"
S1-[PT]-02,A-4,x3,"1. 네트워크 효과 (40점)
2. 독점 데이터 소스 (40점)
3. 특화 알고리즘/모델 (30점)
4. 높은 전환 비용 (30점)
5. 특정 워크플로 깊이 (20점)
6. 파트너 생태계 (20점)"
S1-[PT]-02,A-5,x3,"1. 네트워크 효과 (40점)
2. 독점 데이터 소스 (40점)
3. 특화 알고리즘/모델 (30점)
4. 높은 전환 비용 (30점)
5. 특정 워크플로 깊이 (20점)
6. 파트너 생태계 (20점)"
S1-[PT]-03,A-2,x1,"1. 사용량 기반 (30점)
2. 좌석 확장 (30점)
3. 모듈/애드온 판매 (20점)
4. 부서/워크스페이스 확장 (20점)
5. 크로스셀/업셀 구조 (10점)"
S1-[PT]-03,A-3,x2,"1. 사용량 기반 (30점)
2. 좌석 확장 (30점)
3. 모듈/애드온 판매 (20점)
4. 부서/워크스페이스 확장 (20점)
5. 크로스셀/업셀 구조 (10점)"
S1-[PT]-03,A-4,x3,"1. 사용량 기반 (30점)
2. 좌석 확장 (30점)
3. 모듈/애드온 판매 (20점)
4. 부서/워크스페이스 확장 (20점)
5. 크로스셀/업셀 구조 (10점)"
S1-[PT]-03,A-5,x3,"1. 사용량 기반 (30점)
2. 좌석 확장 (30점)
3. 모듈/애드온 판매 (20점)
4. 부서/워크스페이스 확장 (20점)
5. 크로스셀/업셀 구조 (10점)"
S1-[PT]-04,A-1,x1,"1. 거의 불필요 (100점)
2. 일부 필요 (50점)
3. 상당히 필요 (0점)"
S1-[PT]-04,A-2,x2,"1. 거의 불필요 (100점)
2. 일부 필요 (50점)
3. 상당히 필요 (0점)"
S1-[PT]-04,A-3,x2,"1. 거의 불필요 (100점)
2. 일부 필요 (25점)
3. 상당히 필요 (0점)"
S1-[PT]-04,A-4,x3,"1. 셀프서브로 충분 (100점)
2. 간단한 설정 지원 필요 (50점)
3. 일부 커스터마이즈 필요 (0점)"
S1-[PT]-04,A-5,x3,"1. 완벽한 셀프서브 (100점)
2. 설정 지원 외 불필요 (50점)
3. 커스터마이즈 의존 (0점)"
S1-[PT]-05,A-1,x1,"1. 단순 기능 제공 (0점)
2. 사용자 데이터 저장 계획 (50점)
3. 핵심 워크플로 연동 설계 (100점)"
S1-[PT]-05,A-2,x2,"1. 단순 기능 위주 사용 (0점)
2. 고객 데이터 축적 시작 (50점)
3. 고객의 핵심 업무 프로세스에 일부 포함 (100점)"
S1-[PT]-05,A-3,x2,"1. 데이터 이전 용이 (0점)
2. 데이터/설정 이전 복잡 (50점)
3. 타 시스템과 연동되어 있어 전환이 어려움 (100점)"
S1-[PT]-05,A-4,x3,"1. 데이터/프로세스 전환 비용 존재 (0점)
2. 전환 시 여러 팀의 재교육 필요 (50점)
3. 핵심 시스템과 API 연동으로 기술적 의존성 높음 (100점)"
S1-[PT]-05,A-5,x3,"1. 전환에 큰 비용/시간 소요 (0점)
2. 조직 내 협업 데이터가 축적되어 이탈 시 손실 큼 (50점)
3. 제품 내/외부 네트워크 효과로 대체 불가능 (100점)"
S1-[PF]-01,A-1,x2,"1. 12개월 초과 (0점)
2. 6개월 ~ 12개월 (50점)
3. 6개월 이내 (100점)"
S1-[PF]-01,A-2,x2,"1. 12개월 초과 (0점)
2. 6개월 ~ 12개월 (50점)
3. 6개월 이내 (100점)"
S1-[PF]-01,A-3,x3,"1. 6개월 초과 (0점)
2. 3개월 ~ 6개월 (50점)
3. 3개월 이내 (100점)"
S1-[PF]-01,A-4,x3,"1. 6개월 초과 (0점)
2. 3개월 ~ 6개월 (50점)
3. 3개월 이내 (100점)"
S1-[PF]-01,A-5,x3,"1. 3개월 초과 (0점)
2. 1개월 ~ 3개월 (50점)
3. 1개월 이내 (100점)"
S1-[PF]-02,A-1,x1,"1. 단일 시나리오, 근거 부족 (0점)
2. 단일 시나리오 + 핵심 가정 일부 기재 (50점)
3. 3가지(기본/낙관/보수) 시나리오 + 핵심 가정 명시 (100점)"
S1-[PF]-02,A-2,x2,"1. 단일 시나리오, 근거 부족 (0점)
2. 단일 시나리오 + 핵심 가정 일부 기재 (50점)
3. 3가지(기본/낙관/보수) 시나리오 + 핵심 가정 명시 (100점)"
S1-[PF]-02,A-3,x3,"1. 단일 시나리오만 존재 (0점)
2. 3가지 시나리오는 있으나 가정이 불분명 (50점)
3. 3가지 시나리오와 핵심 가정이 데이터 기반으로 정리됨 (100점)"
S1-[PF]-02,A-4,x3,"1. 단일 시나리오만 존재 (0점)
2. 3가지 시나리오는 있으나 가정이 불분명 (50점)
3. 3가지 시나리오와 핵심 가정이 데이터 기반으로 정리됨 (100점)"
S1-[PF]-02,A-5,x3,"1. 3가지 시나리오 가정이 불분명 (0점)
2. 3가지 시나리오와 핵심 가정이 정교하게 정리됨 (75점)
3. 민감도(What-if) 분석까지 포함 (100점)"
S1-[PF]-03,A-3,x2,"1. 6개월 초과 (0점)
2. 3개월 ~ 6개월 (50점)
3. 3개월 이내 (100점)"
S1-[PF]-03,A-4,x3,"1. 3개월 초과 (0점)
2. 1개월 ~ 3개월 (50점)
3. 1개월 이내 (100점)"
S1-[PF]-03,A-5,x3,"1. 3개월 초과 (0점)
2. 1개월 ~ 3개월 (50점)
3. 1개월 이내 (100점)"
S1-[PF]-04,A-2,x2,"1. 예전 버전, 업데이트 안 됨 (0점)
2. 현재 주주 현황만 반영 (50점)
3. 최근 투자 및 스톡옵션 부여 현황까지 반영 (100점)"
S1-[PF]-04,A-3,x2,"1. 최근 현황 미반영 (0점)
2. 최근 투자 라운드 반영, 옵션 잔량만 표시 (50점)
3. 옵션 부여 이력과 향후 옵션풀 운용 계획까지 정리 (100점)"
S1-[PF]-04,A-4,x3,"1. 최근 현황 미반영 (0점)
2. 최근 투자 라운드 반영, 옵션 잔량만 표시 (50점)
3. 옵션 부여 이력과 향후 옵션풀 운용 계획까지 정리 (100점)"
S1-[PF]-04,A-5,x3,"1. 옵션 부여 이력 누락 (0점)
2. 옵션 부여 이력과 향후 계획 정리 (75점)
3. 라운드/옵션/옵션풀 리필 계획 + ESOP 정책까지 문서화 (100점)"
S1-[PF]-05,A-1,x1,"1. 준비 안 됨 (0점)
2. 1-pager 초안 보유 (50점)
3. 1-pager & FAQ 초안 모두 보유 (100점)"
S1-[PF]-05,A-2,x2,"1. 준비 안 됨 (0점)
2. 1-pager 초안 보유 (50점)
3. 1-pager & FAQ 초안 모두 보유 (100점)"
S1-[PF]-05,A-3,x3,"1. 내용이 오래되거나 핵심 지표 누락 (0점)
2. 최신 핵심 지표/마일스톤 정리됨 (50점)
3. 예상 질문/리스크에 대한 답변까지 충실히 정리됨 (100점)"
S1-[PF]-05,A-4,x3,"1. 내용이 오래되거나 핵심 지표 누락 (0점)
2. 최신 핵심 지표/마일스톤 정리됨 (50점)
3. 예상 질문/리스크에 대한 답변까지 충실히 정리됨 (100점)"
S1-[PF]-05,A-5,x3,"1. 예상 질문/리스크 답변 부재 (0점)
2. 예상 질문/리스크 답변 정리됨 (75점)
3. 투자 심사역 수준의 완성도, 즉시 전송 가능한 상태 (100점)"
S1-[PF]-06,A-1,x1,"1. 문제 정의 & 첫 고객 (15점)
2. 시장 분석 (15점)
3. 경쟁사 분석 (15점)
4. 가격·비즈니스모델 (15점)
5. 제품 전략·로드맵 (10점)
6. GTM·세일즈 전략 (10점)
7. 핵심 KPI 대시보드 (10점)
8. 재무 모델 (10점)
9. 캡테이블 (5점)
10. 리스크 & 완화 계획 (5점)"
S1-[PF]-06,A-2,x2,"1. 문제 정의 & 첫 고객 (15점)
2. 시장 분석 (15점)
3. 경쟁사 분석 (15점)
4. 가격·비즈니스모델 (15점)
5. 제품 전략·로드맵 (10점)
6. GTM·세일즈 전략 (10점)
7. 핵심 KPI 대시보드 (10점)
8. 재무 모델 (10점)
9. 캡테이블 (5점)
10. 리스크 & 완화 계획 (5점)"
S1-[PF]-06,A-3,x3,"1. 문제 정의 & 첫 고객 (15점)
2. 시장 분석 (15점)
3. 경쟁사 분석 (15점)
4. 가격·비즈니스모델 (15점)
5. 제품 전략·로드맵 (10점)
6. GTM·세일즈 전략 (10점)
7. 핵심 KPI 대시보드 (10점)
8. 재무 모델 (10점)
9. 캡테이블 (5점)
10. 리스크 & 완화 계획 (5점)"
S1-[PF]-06,A-4,x3,"1. 문제 정의 & 첫 고객 (15점)
2. 시장 분석 (15점)
3. 경쟁사 분석 (15점)
4. 가격·비즈니스모델 (15점)
5. 제품 전략·로드맵 (10점)
6. GTM·세일즈 전략 (10점)
7. 핵심 KPI 대시보드 (10점)
8. 재무 모델 (10점)
9. 캡테이블 (5점)
10. 리스크 & 완화 계획 (5점)"
S1-[PF]-06,A-5,x3,"1. 문제 정의 & 첫 고객 (15점)
2. 시장 분석 (15점)
3. 경쟁사 분석 (15점)
4. 가격·비즈니스모델 (15점)
5. 제품 전략·로드맵 (10점)
6. GTM·세일즈 전략 (10점)
7. 핵심 KPI 대시보드 (10점)
8. 재무 모델 (10점)
9. 캡테이블 (5점)
10. 리스크 & 완화 계획 (5점)"
S1-[TO]-01,A-1,x3,"1. 1년 미만 (0점)
2. 1년 ~ 3년 (50점)
3. 3년 ~ 5년 (80점)
4. 5년 이상 (100점)"
S1-[TO]-01,A-2,x3,"1. 1년 미만 (0점)
2. 1년 ~ 3년 (50점)
3. 3년 ~ 5년 (80점)
4. 5년 이상 (100점)"
S1-[TO]-01,A-3,x2,"1. 3년 미만 (0점)
2. 3년 ~ 5년 (40점)
3. 5년 ~ 10년 (80점)
4. 10년 이상 (100점)"
S1-[TO]-01,A-4,x1,"1. 3년 미만 (0점)
2. 3년 ~ 5년 (40점)
3. 5년 ~ 10년 (80점)
4. 10년 이상 (100점)"
S1-[TO]-01,A-5,x1,"1. 5년 미만 (0점)
2. 5년 ~ 7년 (40점)
3. 7년 ~ 10년 (80점)
4. 10년 이상 (업계 리더급) (100점)"
S1-[TO]-02,A-1,x2,"1. 경험 없음 (0점)
2. 유관 프로젝트 리딩 경험 (40점)
3. 창업 경험 (엑싯X) (80점)
4. 엑싯 경험 (M&A) (100점)"
S1-[TO]-02,A-2,x2,"1. 경험 없음 (0점)
2. 유관 프로젝트 리딩 경험 (40점)
3. 창업 경험 (엑싯X) (80점)
4. 엑싯 경험 (M&A) (100점)"
S1-[TO]-02,A-3,x1,"1. 경험 없음 (0점)
2. 창업 경험 (엑싯X) (50점)
3. 엑싯 경험 (M&A) (80점)
4. 엑싯 경험 (IPO) (100점)"
S1-[TO]-03,A-1,x3,"1. 전원 파트타임/사이드 프로젝트 (0점)
2. 핵심 창업자 1인만 풀타임 (20점)
3. 공동창업자 50% 이상 풀타임 (50점)
4. 전원 풀타임 (100점)"
S1-[TO]-03,A-2,x3,"1. 전원 파트타임/사이드 프로젝트 (0점)
2. 일부 파트타임 (30점)
3. 전원 풀타임 (80점)
4. 전원 풀타임 + 주주간계약 완료 (100점)"
S1-[TO]-03,A-3,x2,"1. 전원 풀타임 아님 (0점)
2. 전원 풀타임 (50점)
3. 전원 풀타임 + 주주간계약 완료 (100점)"
S1-[TO]-04,A-1,x2,"1. CTO/기술 리드 (40점)
2. PM/제품 리드 (40점)
3. 데이터/리서처 (20점)"
S1-[TO]-04,A-2,x2,"1. CTO/기술 리드 (30점)
2. PM/제품 리드 (30점)
3. 데이터/리서처 (20점)
4. 마케팅/그로스 (20점)"
S1-[TO]-04,A-3,x3,"1. 기술 리드 (20점)
2. 제품 리드 (20점)
3. 세일즈 리드 (20점)
4. 마케팅/그로스 (20점)
5. 고객 성공/CS (20점)"
S1-[TO]-04,A-4,x3,"1. CTO(기술) (20점)
2. CPO(제품) (20점)
3. CSO/CRO(세일즈) (20점)
4. CMO(마케팅) (20점)
5. COO(운영) (20점)"
S1-[TO]-04,A-5,x2,"1. CTO (15점)
2. CPO (15점)
3. CSO/CRO (15점)
4. CMO (15점)
5. COO (15점)
6. CFO (15점)
7. CISO/데이터 (10점)"
S1-[TO]-05,A-1,x1,"1. 없음 (0점)
2. 1명 이상 (100점)"
S1-[TO]-05,A-2,x2,"1. 없음 (0점)
2. 1명 (75점)
3. 2명 이상 (100점)"
S1-[TO]-05,A-3,x2,"1. 없음 (0점)
2. 1명 (50점)
3. 2명 (80점)
4. 3명 이상 (100점)"
S1-[TO]-05,A-4,x3,"1. 1명 이하 (0점)
2. 2명 (40점)
3. 3-4명 (80점)
4. 5명 이상 (100점)"
S1-[TO]-05,A-5,x3,"1. 3명 미만 (0점)
2. 3-4명 (40점)
3. 5-6명 (80점)
4. 각 기능별 리드 완비 (7명 이상) (100점)"
S1-[TO]-06,A-3,x2,"1. 주요 고객사 기반 파트너십(성공사례) (40점)
2. 기술 파트너(제품 기능 강화) (40점)
3. 초기 채널/리셀러 (20점)"
S1-[TO]-06,A-4,x3,"1. 리셀러/채널 파트너(매출 확장) (40점)
2. 기술 파트너(API 생태계 구축) (40점)
3. 전략적 투자사(SI)와의 파트너십 (20점)"
S1-[TO]-06,A-5,x3,"1. 리셀러/채널 파트너(매출 확장) (30점)
2. 기술 파트너(API 생태계 구축) (30점)
3. 전략적 투자사(SI)와의 파트너십 (20점)
4. 글로벌 파트너십(해외 진출) (20점)"
